Tm,Batter,vs,Pitcher,RC,BB,K,HR,XB,1B,BB,K
ARI,Tyler Locklear,2,Gomber,53,-25,-34,4.6,6.3,10.6,6.9,24
SF,Grant McCray,-5,Irvin,47,-7,-24,2.8,5.6,12.6,4.9,33.2
ARI,Jorge Barrosa,-4,Gomber,39,-37,-32,1.9,7.5,13,4.5,21.5
MIA,Troy Johnston,-6,Elder,36,17,-14,2.2,3.8,14.4,7,29.5
MIA,Heriberto Hernandez,7,Elder,35,37,-23,2.7,4.4,15.4,12.8,23.3
MIA,Graham Pauley,8,Elder,34,24,-26,2.5,4.4,18.1,11.2,19.6
MIA,Jakob Marsee,9,Elder,33,15,-20,2.4,4.9,17.9,13.1,20.8
MIA,Kyle Stowers,10,Elder,32,28,-22,3.3,5.4,17.4,12.5,22.8
MIA,Agustin Ramirez,10,Elder,31,21,-22,3.3,7.2,17.4,9.2,18
ARI,Corbin Carroll,10,Gomber,31,-22,-37,5.7,9.3,13.9,8.1,15.5
ARI,Blaze Alexander,-2,Gomber,29,-33,-32,2.6,6,14.6,5.1,21.2
MIA,Dane Myers,7,Elder,29,3,-29,2,5.1,18.6,8.3,18.4
COL,Hunter Goodman,8,Gallen,29,-7,-16,4.5,7.2,14.7,6.7,24.4
ARI,Jose Herrera,6,Gomber,29,-27,-46,2.2,7.5,14.8,7.8,14.1
ATH,Tyler Soderstrom,10,Sugano,28,3,-27,4.3,6.1,21.5,9.3,16.5
CIN,Tyler Stephenson,-2,Keller,28,-9,-12,2.6,7,10.9,9.5,31.2
ATH,Gio Urshela,8,Sugano,26,-8,-27,2.4,5.7,22.5,5.6,15.6
COL,Jordan Beck,5,Gallen,25,-17,-7,4,6,14.5,8.2,27.5
ATH,Carlos Cortes,-1,Sugano,23,-11,-16,3,4.8,16.3,6.2,23.9
COL,Brenton Doyle,6,Gallen,21,-24,-9,3.5,6.1,18.2,5.1,24.3
ATH,Darell Hernaiz,6,Sugano,21,-2,-20,1.8,5.1,20.1,8.2,15.1
ARI,Ketel Marte,10,Gomber,21,-35,-43,5.6,7,15,7.5,10.6
