Tm,Batter,vs,Pitcher,RC,PA,AB,H,HR,XB,BB,K,AVG
HOU,Kyle Tucker,10,Bradford,42,6,6,1.4,0.2,0.4,0,0,0.235
TEX,Marcus Semien,10,Brown,-9,12,12,4.7,0.2,1,0,1,0.391
PHI,Bryce Harper,10,Corbin,5,18,14,4.3,0.1,0.7,4,2,0.308
PHI,Kyle Schwarber,10,Corbin,10,16,12,7,2,1.3,4,0,0.58
KC,Vinnie Pasquantino,10,Fedde,0,0,0,0,0,0,0,0,0
TB,Brandon Lowe,10,Gomber,42,3,3,0.7,0.3,0.1,0,0,0.248
TB,Isaac Paredes,10,Gomber,28,3,2,0.5,0.5,0.1,1,1,0.272
TB,Randy Arozarena,10,Gomber,45,3,3,0.6,0.5,0.1,0,1,0.208
LAD,Mookie Betts,10,Hendricks,-3,4,4,1,0,0,0,0,0.254
ATL,Matt Olson,10,Henry,21,0,0,0,0,0,0,0,0
ATL,Ozzie Albies,10,Henry,28,0,0,0,0,0,0,0,0
ATL,Ronald Acuna Jr.,10,Henry,12,0,0,0,0,0,0,0,0
NYY,Aaron Judge,10,Kikuchi,-1,21,17,4.5,1.7,2,4,8,0.267
NYY,Gleyber Torres,10,Kikuchi,-9,18,17,7,1.9,1.9,1,1,0.414
NYY,Juan Soto,10,Kikuchi,-10,0,0,0,0,0,0,0,0
CIN,Jonathan India,10,Quintana,21,6,6,1,0,0.3,0,1,0.175
DET,Andy Ibanez,10,Sears,16,6,6,1.4,0.1,0.2,0,1,0.231
DET,Matt Vierling,10,Sears,18,6,5,1.6,0,0.1,1,0,0.314
DET,Spencer Torkelson,10,Sears,9,6,6,2.3,0,0.4,0,1,0.378
TOR,Alejandro Kirk,10,Stroman,-8,0,0,0,0,0,0,0,0
TOR,Justin Turner,10,Stroman,-10,6,6,0.9,0,0.8,0,0,0.142
TOR,Vladimir Guerrero Jr.,10,Stroman,-12,3,3,0.7,0,0,0,0,0.222
HOU,Jeremy Pena,9,Bradford,8,3,3,1.2,0,0.2,0,1,0.391
HOU,Yainer Diaz,9,Bradford,13,3,3,0.3,0,0,0,1,0.103
TEX,Corey Seager,9,Brown,-9,8,8,2.8,0.5,1,0,2,0.348
TEX,Evan Carter,9,Brown,5,2,2,1.1,0.2,0.6,0,0,0.542
BOS,Rafael Devers,9,Canning,-13,6,6,2.3,0.1,0.7,0,1,0.386
BOS,Triston Casas,9,Canning,-5,3,2,0.2,0,0,1,1,0.096
TB,Richie Palacios,9,Gomber,22,0,0,0,0,0,0,0,0
TB,Yandy Diaz,9,Gomber,28,3,2,0.7,0,0,1,0,0.351
LAD,Max Muncy,9,Hendricks,-2,3,3,0,0,0,0,2,0
LAD,Miguel Rojas,9,Hendricks,1,0,0,0,0,0,0,0,0
ATL,Jarred Kelenic,9,Henry,30,0,0,0,0,0,0,0,0
ATL,Luis Guillorme,9,Henry,19,0,0,0,0,0,0,0,0
ATL,Marcell Ozuna,9,Henry,10,0,0,0,0,0,0,0,0
ATL,Orlando Arcia,9,Henry,10,0,0,0,0,0,0,0,0
NYY,Alex Verdugo,9,Kikuchi,-12,14,14,4.5,0.2,1.7,0,2,0.319
WAS,C.J. Abrams,9,Nola,-6,7,7,2.2,0,0.1,0,1,0.309
DET,Jake Rogers,9,Sears,28,6,6,0.6,0.1,0.2,0,2,0.093
DET,Mark Canha,9,Sears,6,5,5,0.5,0,0.1,0,0,0.104
CHW,Yoan Moncada,9,Singer,11,21,19,3.8,1.4,1,2,9,0.2
HOU,Jose Abreu,8,Bradford,4,5,5,1.8,1,0.1,0,1,0.359
