Game,Team,Batter,Bats,Pitcher,Throws,Starter,RC,HR Boost,XB Boost,1B Boost,BB Boost,K Boost,HR Prob,XB Prob,1B Prob,BB Prob,K Prob,RC (no park),HR Boost (no park),XB Boost (no park),1B Boost (no park),BB Boost (no park),K Boost (no park),HR Prob (no park),XB Prob (no park),1B Prob (no park),BB Prob (no park),K Prob (no park),vs Grade,PA,AB,H,HR (hist),XBH (hist),BB (hist),K (hist),AVG
Braves @ Nationals,ATL,Kyle Farmer,R,Irvin,R,0,4,-50,2,16,-18,-12,1.4,5.5,17.3,6.3,20.7,27,4,23,23,-14,-10,2.8,6.7,18.4,6.6,21.1,8,3,3,0,0,0,0,1,.000                         
Braves @ Nationals,ATL,Mike Yastrzemski,L,Irvin,R,1,-3,-39,6,12,-30,-7,2,5.8,15.2,9.7,16.9,17,28,21,13,-27,-5,4.1,6.6,15.4,10.2,17.2,10,12,9,1,1,0,3,1,.111                         
Braves @ Nationals,ATL,Matt Olson,L,Irvin,R,1,8,-27,20,3,-10,-12,2.7,5.3,13.1,12,23.8,29,26,36,5,-6,-10,4.7,5.9,13.2,12.6,24.3,10,17,16,3,1,0,1,5,.188                         
Braves @ Nationals,ATL,Jorge Mateo,R,Irvin,R,0,13,-50,25,8,-21,-10,0.9,6.3,15.9,5.9,25.4,34,8,46,15,-17,-9,1.9,7.4,17,6.2,25.9,3,0,0,0,0,0,0,0,.000                         
Braves @ Nationals,ATL,Jonah Heim,S,Irvin,R,0,6,-47,17,3,-15,-11,1.1,6.1,15.7,8.1,18.9,26,22,37,7,-11,-9,2.5,7.2,16.3,8.5,19.3,8,2,2,1,0,0,0,0,.500                         
Braves @ Nationals,ATL,Dominic Smith,L,Irvin,R,1,13,-48,29,18,-23,-18,1.3,6.9,18.5,6.2,18.1,36,15,53,20,-19,-17,3,8.1,18.9,6.5,18.5,10,6,6,2,0,0,0,2,.333                         
Braves @ Nationals,ATL,Eli White,R,Irvin,R,0,17,-33,20,13,-15,-14,1.8,5.6,15,6,27.2,44,24,43,20,-11,-12,3.3,6.7,16,6.3,27.7,5,6,6,0,0,0,0,2,.000                         
Braves @ Nationals,ATL,Mauricio Dubon,R,Irvin,R,1,5,-42,-6,12,-18,-8,0.9,4.7,21,5.1,11.9,24,29,13,19,-14,-7,1.9,5.6,22.3,5.4,12.2,8,0,0,0,0,0,0,0,.000                         
Braves @ Nationals,ATL,Ozzie Albies,S,Irvin,R,1,4,-45,10,12,-22,-14,1.5,6.3,19.6,6.3,12.5,24,17,29,16,-19,-13,3.2,7.4,20.2,6.6,12.7,10,13,11,2,0,1,2,0,.182                         
Braves @ Nationals,ATL,Ronald Acuna Jr.,R,Irvin,R,1,4,-23,17,4,-26,-16,2.4,5.2,13.9,11.5,21.9,19,16,32,9,-22,-14,3.5,5.9,14.6,12.1,22.4,9,5,5,3,0,1,0,0,.600                         
Braves @ Nationals,WAS,Keibert Ruiz,S,Elder,R,1,-11,-59,-26,2,-34,-1,0.6,3.7,19.2,3.4,11.4,1,-4,-13,5,-31,1,1.5,4.3,19.8,3.6,11.6,-1,3,3,2,0,0,0,0,.667                         
Braves @ Nationals,ATL,Austin Riley,R,Irvin,R,1,4,-40,31,-7,-16,-1,1.9,7.1,12.2,7.6,30.4,23,-3,49,-1,-12,1,3.2,8.1,12.9,8,31,4,11,9,3,0,0,2,3,.333                         
Braves @ Nationals,WAS,Luis Garcia,L,Elder,R,1,-14,-59,-14,1,-32,-6,1.2,5.1,17.3,3.8,17.8,5,-13,4,5,-29,-4,2.7,6.2,18,4,18.1,4,6,6,2,0,1,0,1,.333                         
Braves @ Nationals,ATL,Michael Harris II,L,Irvin,R,1,10,-41,28,7,-15,-19,1.9,7.1,18.1,4.6,16.9,29,6,47,10,-10,-17,3.4,8.1,18.6,4.8,17.2,10,20,18,7,0,2,2,3,.389                         
Braves @ Nationals,WAS,Jose Tena,L,Elder,R,1,-16,-70,-29,0,-35,-3,0.4,3.5,14.8,6.1,24.6,1,-14,-7,4,-32,-2,1.3,4.5,15.3,6.4,25.1,-6,2,2,0,0,0,0,0,.000                         
Braves @ Nationals,WAS,Jorbit Vivas,L,Elder,R,0,-19,-66,-30,-6,-30,4,0.6,3.2,14,5.3,22.8,-7,-27,-16,-4,-27,6,1.2,3.8,14.3,5.6,23.2,-8,0,0,0,0,0,0,0,.000                         
Braves @ Nationals,WAS,Curtis Mead,R,Elder,R,0,-16,-59,-26,0,-38,1,0.7,3.9,13.8,4,26.5,-1,-12,-15,5,-35,3,1.5,4.5,14.6,4.2,27,-8,0,0,0,0,0,0,0,.000                         
Braves @ Nationals,WAS,C.J. Abrams,L,Elder,R,1,-15,-55,-25,-6,-15,-3,1.2,4,13.5,6.9,24.1,2,-10,-13,-3,-11,-1,2.5,4.6,13.9,7.2,24.5,-4,8,7,4,0,1,1,0,.571                         
Braves @ Nationals,WAS,Nasim Nunez,S,Elder,R,1,-21,-71,-26,-7,-32,-4,0.6,3.1,12.8,7,23.6,-5,-29,-10,-2,-29,-2,1.4,3.8,13.6,7.4,24.1,-7,0,0,0,0,0,0,0,.000                         
Braves @ Nationals,WAS,Drew Millas,S,Elder,R,0,0,-57,-2,7,-32,-5,0.5,4.3,16.6,6.2,22.3,13,-18,15,12,-28,-3,1,5,17.4,6.5,22.7,-3,0,0,0,0,0,0,0,.000                         
Braves @ Nationals,WAS,Joey Wiemer,R,Elder,R,0,-15,-57,-20,-5,-24,-3,1.1,3.7,12,6.5,32.2,3,-21,-8,3,-20,-1,2,4.3,12.9,6.8,32.8,-8,2,2,0,0,0,0,0,.000                         
Braves @ Nationals,ATL,Drake Baldwin,L,Irvin,R,1,7,-35,17,18,-26,-12,2,6,18.9,7.3,14.6,26,23,30,20,-23,-11,3.8,6.8,19.4,7.6,14.8,10,3,3,0,0,0,0,1,.000                         
