Tm,Batter,vs,Pitcher,PA,AB,H,HR,XB,BB,K,AVG
CIN,Matt McLain,9,Leiter,0,0,0,0,0,0,0,0
CIN,Christian En-Strand,6,Leiter,0,0,0,0,0,0,0,0
CIN,Jose Trevino,8,Leiter,0,0,0,0,0,0,0,0
CIN,Elly De La Cruz,10,Leiter,0,0,0,0,0,0,0,0
CIN,Spencer Steer,8,Leiter,0,0,0,0,0,0,0,0
CIN,TJ Friedl,7,Leiter,0,0,0,0,0,0,0,0
CIN,Jake Fraley,7,Leiter,0,0,0,0,0,0,0,0
CIN,Jeimer Candelario,6,Leiter,0,0,0,0,0,0,0,0
CIN,Gavin Lux,6,Leiter,0,0,0,0,0,0,0,0
MIN,Edouard Julien,7,Burke,0,0,0,0,0,0,0,0
WAS,James Wood,8,Lucas,0,0,0,0,0,0,0,0
WAS,Dylan Crews,2,Lucas,0,0,0,0,0,0,0,0
WAS,Jacob Young,7,Lucas,0,0,0,0,0,0,0,0
WAS,Paul DeJong,-6,Lucas,0,0,0,0,0,0,0,0
WAS,C.J. Abrams,6,Lucas,0,0,0,0,0,0,0,0
WAS,Keibert Ruiz,9,Lucas,0,0,0,0,0,0,0,0
WAS,Luis Garcia,8,Lucas,0,0,0,0,0,0,0,0
WAS,Nathaniel Lowe,8,Lucas,2,2,2,0,0,0,0,1
MIN,Byron Buxton,4,Burke,0,0,0,0,0,0,0,0
ATH,Tyler Soderstrom,10,Taillon,0,0,0,0,0,0,0,0
ATH,Jacob Wilson,6,Taillon,0,0,0,0,0,0,0,0
LAD,Andy Pages,7,Elder,2,2,1,1,0,0,1,0.5
WAS,Josh Bell,5,Lucas,0,0,0,0,0,0,0,0
LAD,Enrique Hernandez,8,Elder,0,0,0,0,0,0,0,0
MIN,Matt Wallner,-2,Burke,0,0,0,0,0,0,0,0
NYM,Brett Baty,2,Gillispie,0,0,0,0,0,0,0,0
NYM,Juan Soto,10,Gillispie,1,1,0,0,0,0,1,0
MIN,Trevor Larnach,7,Burke,0,0,0,0,0,0,0,0
CHW,Brooks Baldwin,-1,Lopez,0,0,0,0,0,0,0,0
BOS,Ceddanne Rafaela,-2,Eflin,7,7,3,0,0,0,1,0.429
SD,Fernando Tatis Jr.,10,Lively,0,0,0,0,0,0,0,0
NYM,Jesse Winker,10,Gillispie,0,0,0,0,0,0,0,0
CHW,Luis Robert,-2,Lopez,12,12,2,0,1,0,5,0.167
LAD,Shohei Ohtani,10,Elder,3,3,2,1,1,0,1,0.667
HOU,Jeremy Pena,6,Roupp,0,0,0,0,0,0,0,0
SD,Elias Diaz,3,Lively,2,2,0,0,0,0,1,0
PHI,Max Kepler,6,Freeland,0,0,0,0,0,0,0,0
MIN,Ty France,3,Burke,0,0,0,0,0,0,0,0
SD,Xander Bogaerts,9,Lively,3,3,1,0,0,0,0,0.333
HOU,Yordan Alvarez,10,Roupp,0,0,0,0,0,0,0,0
TOR,Ernie Clement,1,Gore,6,6,1,0,0,0,2,0.167
NYM,Francisco Lindor,10,Gillispie,0,0,0,0,0,0,0,0
MIN,Harrison Bader,0,Burke,0,0,0,0,0,0,0,0
LAD,Max Muncy,9,Elder,8,8,2,1,0,0,2,0.25
LAD,Tommy Edman,5,Elder,2,2,0,0,0,0,0,0
HOU,Yainer Diaz,5,Roupp,0,0,0,0,0,0,0,0
NYM,Brandon Nimmo,7,Gillispie,0,0,0,0,0,0,0,0
MIN,Carlos Correa,6,Burke,0,0,0,0,0,0,0,0
