Team,Name,Park,Prob
PHI,Zack Wheeler,MIA,58.20%
NYY,Max Fried,CHW,47.90%
BAL,Kyle Bradish,DET,45.00%
SEA,George Kirby,TEX,44.90%
DET,Keider Montero,DET,44.20%
CIN,Chase Burns,CIN,40.10%
SF,Tyler Mahle,SF,38.50%
NYM,Zach Thornton,NYM,38.00%
TEX,Kumar Rocker,TEX,37.70%
ARI,Merrill Kelly,PIT,35.40%
BOS,Payton Tolle,ATH,33.80%
STL,Matthew Liberatore,STL,30.00%
LAA,Walbert Urena,LAA,29.80%
MIA,Tyler Phillips,MIA,27.90%
PIT,Mitch Keller,PIT,27.20%
HOU,Tatsuya Imai,LAA,25.70%
MIL,Brandon Sproat,SF,24.40%
CHC,David Peterson,STL,22.00%
CLE,Slade Cecconi,CIN,21.40%
CHW,Noah Schultz,CHW,20.20%
ATL,Martin Perez,NYM,19.90%
ATH,Jack Perkins,ATH,10.90%
TOR,Max Scherzer,WAS,6.00%
WAS,Eddy Yean,WAS,0.10%
